;Rent;Street;Hood;Total-Area;Rooms
0;2100;Estrada Caetano Monteiro;badu;69.0;3
1;1650;Estrada Caetano Monteiro;badu;70.0;2
2;4800;;badu;300.0;5
3;3500;Estrada Caetano Monteiro;badu;90.0;3
4;1300;391 Bloco 06;badu;82.0;2
5;1000;Estrada Caetano Monteiro;badu;60.0;2
6;4500;;badu;400.0;4
7;4500;;badu;250.0;4
8;27000;Estrada Francisco Da Cruz Nunes;badu;580.0;3
9;1450;;badu;60.0;2
10;12000;Estrada Alcebíades Pinto;badu;540.0;3
11;8000;;badu;300.0;6
12;12000;;badu;540.0;3
13;1237;Rua Hamilton Picanço;badu;143.0;3
14;1200;Estrada Caetano Monteiro, 4087;badu;57.0;2
15;5500;Estrada Monan Grande;badu;320.0;3
16;1800;;badu;130.0;4
17;7000;;badu;777.0;5
18;1500;Estrada Caetano Monteiro, 3825;badu;60.0;2
19;1200;Estrada Caetano Monteiro, 3825;badu;60.0;2
20;1500;Estrada Caetano Monteiro, 3825;badu;60.0;2
21;1500;Estrada Caetano Monteiro, 3825;badu;60.0;2
22;1300;Estrada Caetano Monteiro, 3825;badu;60.0;2
23;1300;Estrada Caetano Monteiro, 3825;badu;60.0;2
24;1600;;badu;40.0;3
25;3000;;badu;290.0;4
26;850;Estrada Caetano Monteiro, 3618;badu;100.0;3
0;598;Rua Doutor March;barreto;64.0;2
1;2600;Rua Doutor Camara Coutinho;barreto;120.0;3
2;1250;Rua Doutor March;barreto;57.0;2
3;1050;Rua General Castrioto;barreto;65.0;3
4;1100;Rua General Castrioto;barreto;300.0;2
5;1800;Rua Doutor Luiz Palmier, 1001;barreto;70.0;3
6;2500;;barreto;84.0;3
7;1500;Rua Doutor Luiz Palmier, 1001;barreto;60.0;2
8;8000;Rua Sá Pinto;barreto;80.0;2
9;800;Rua General Castrioto, 580;barreto;84.0;2
10;1000;Rua Doutor March;barreto;60.0;2
11;1000;Rua Doutor March;barreto;58.0;2
12;1200;Rua Doutor March;barreto;200.0;1
13;8000;Rua Sá Pinto, 47;barreto;43.0;2
14;1200;Rua Doutor Luiz Palmier, 280;barreto;90.0;2
15;1600;;barreto;58.0;2
16;1150;Rua Doutor March, 230;barreto;160.0;2,04
17;2100;Rua General Castrioto;barreto;50.0;2
18;1600;Rua Doutor March;barreto;58.0;2
19;950;230 Bloco C   Loc;barreto;50.0;2,04
20;1050;"Rua Doutor March,
                290";barreto;30.0;1
21;500;Travessa Alberto Coelho;barreto;55.0;2
22;1200;;barreto;68.0;2
23;750;Rua Doutor Luiz Palmier, 344;barreto;55.0;2
24;900;280 Torre 1;barreto;40.0;1
25;700;Rua General Estilac Leal, 82;barreto;60.0;2
26;600;Rua Doutor Luiz Palmier;barreto;0.0;2,04
0;1100;Estrada Velha De Maricá;baldeador;60.0;2
1;13000;;baldeador;2000.0;3
2;1800;;baldeador;25.0;3
3;1500;;baldeador;244.0;4
4;13000;;baldeador;2800.0;3
5;13000;Rodovia Amaral Peixoto, 0;baldeador;2000.0;3
0;1000;Rua Noronha Santos;boa-viagem;122.0;2
1;1500;Rua Domingos Sávio Nogueira Saad;boa-viagem;70.0;1
2;9810;Avenida Almirante Benjamin Sodré;boa-viagem;260.0;4
3;5000;Rua Edmundo March;boa-viagem;85.0;3
4;1600;Rua Roberto Rowley Mendes;boa-viagem;70.0;1
5;6000;Rua Antônio Parreiras, 139;boa-viagem;420.0;4
6;2700;;boa-viagem;77.0;2
7;1300;;boa-viagem;70.0;2
8;1700;Rua Roberto Rowley Mendes, 230;boa-viagem;75.0;2
9;8000;;boa-viagem;325.0;3
10;3500;;boa-viagem;42.0;1
11;1500;"Rua Edmundo March,
                47";boa-viagem;65.0;2
12;5500;;boa-viagem;200.0;4
13;1500;;boa-viagem;69.0;2
14;3200;;boa-viagem;85.0;2
15;11000;Avenida Almirante Benjamin Sodré, 374;boa-viagem;423.0;4
16;1500;Rua Roberto Rowley Mendes, 215;boa-viagem;80.0;2
17;1500;Rua Vera Crispino De Freitas, 157;boa-viagem;56.0;1
18;12490;Avenida Almirante Benjamin Sodré;boa-viagem;600.0;4
19;5500;Rua Antônio Parreiras;boa-viagem;572.0;5
20;5800;Rua Roberto Rowley Mendes;boa-viagem;102.0;3
21;5500;Rua Antônio Parreiras;boa-viagem;420.0;4
22;1800;Rua Antônio Parreiras;boa-viagem;75.0;2
23;2200;Rua Antônio Parreiras;boa-viagem;145.0;3
24;1700;Rua Edmundo March;boa-viagem;60.0;3
25;1400;;boa-viagem;45.0;1
26;2200;;boa-viagem;160.0;3
27;12000;374 401;boa-viagem;423.0;4
28;1000;Rua Vera Crispino De Freitas;boa-viagem;50.0;1
29;9000;;boa-viagem;500.0;4
0;2300;1036 Bloco 5 Cozumel;camboinhas;85.0;2
1;12000;;camboinhas;400.0;5
2;2800;1036 Bloco 17 Pucket;camboinhas;104.0;3
3;2500;;camboinhas;108.0;3
4;2400;;camboinhas;90.0;2
5;12000;76 Loc;camboinhas;400.0;5
6;1600;;camboinhas;45.0;1
7;1300;;camboinhas;37.0;1
8;3800;;camboinhas;186.0;3
9;8000;;camboinhas;950.0;5
10;2000000;;camboinhas;146.0;4
11;2100;;camboinhas;186.0;3
12;2500;Avenida Professor Florestan Fernandes  95;camboinhas;90.0;2
0;750;Rua São João;centro;30.0;1
1;1500;Rua Marquês De Paraná;centro;65.0;2
2;1850;Rua Barão Do Amazonas;centro;60.0;2
3;1768;Rua Visconde De Itaboraí;centro;80.0;2
4;2163;Rua Da Conceição;centro;86.0;6
5;1000;Avenida Feliciano Sodré;centro;90.0;2
6;500;Rua Da Conceição;centro;25.0;1
7;900;"Rua Da Conceição,
                95";centro;32.0;1
8;820;"Rua Doutor Borman,
                23";centro;30.0;1
9;1100;"Rua Da Conceição,
                95";centro;32.0;1
10;1590;Avenida Visconde Do Rio Branco;centro;70.0;2
11;850;Rua Visconde De Itaboraí;centro;80.0;2
12;1700;Avenida Ernani Do Amaral Peixoto;centro;47.0;1
13;1370;Rua São Pedro;centro;77.0;2
14;650;Rua Professor Heitor Carrilho;centro;20.0;1
15;890;Avenida Ernani Do Amaral Peixoto;centro;35.0;1
16;640;Rua Coronel Gomes Machado;centro;23.0;1
17;2900;"Rua Doutor Celestino,
                122";centro;45.0;1
18;1500;Rua Visconde De Sepetiba;centro;70.0;2
19;1410;Avenida Visconde Do Rio Branco;centro;75.0;2
20;950;"Rua Da Conceição,
                95";centro;33.0;1
21;1300;Saldanha Marinho;centro;61.0;2
22;500;Rua Da Conceição;centro;20.0;1
23;600;;centro;26.0;1
24;900;;centro;130.0;1
25;300;;centro;30.0;1
26;1500;Rua Visconde De Itaboraí 166;centro;150.0;1
27;600;;centro;30.0;1
28;500;;centro;38.0;1
29;350;;centro;46.0;1
30;1250;;centro;64.0;1
31;800;"Rua Visconde De Itaboraí,
                196";centro;52.0;2
32;1100;;centro;80.0;2
33;1200;;centro;33.0;1
34;1700;Rua Visconde De Sepetiba, 610;centro;130.0;3
35;5000;Rua São João, 259;centro;218.0;2
36;2500;;centro;65.0;2
37;1600;;centro;68.0;2
38;1000;;centro;60.0;2
39;8000;Rua Barão Do Amazonas, 415;centro;180.0;1
40;600;Avenida Ernani Do Amaral Peixoto, 71;centro;40.0;1
41;400;Avenida Ernani Do Amaral Peixoto;centro;18.0;1
42;800;;centro;27.0;1
43;15000;;centro;590.0;1
44;550;Rua Conceição;centro;37.0;1
45;5500;;centro;216.0;1
46;3500;;centro;210.0;1
47;45000;;centro;450.0;1
0;1300;Rua Quinze De Novembro;centro;27.0;1
1;12000;Avenida Marquês Do Paraná;centro;550.0;1
2;1500;;centro;28.0;1
3;1000;;centro;45.0;1
4;13000;Avenida Marquês Do Paraná;centro;550.0;1
5;35000;Rua Almirante Teffe;centro;500.0;1
6;2200;Rua Visconde De Sepetiba;centro;143.0;1
7;11800;;centro;550.0;1
8;1000;"Rua Da Conceição,
                95";centro;32.0;1
9;1200;"Rua Barão Do Amazonas,
                02";centro;45.0;2
10;1244;;centro;46.0;1
11;1500;;centro;50.0;1
12;960;Rua Visconde De Itaboraí;centro;72.0;2
13;2800;"Rua Luiz Leopoldo Fernandes Pinheiro,
                572";centro;120.0;1
14;950;Rua Da Conceição;centro;45.0;1
15;1400;;centro;50.0;2
16;2500;Rua Jornalista Roberto De Andrade;centro;200.0;4
17;3500;Rua Visconde Do Uruguai;centro;130.0;1
18;1200;Rua Xv De Novembro, 4;centro;45.0;1
19;980;Rua Marquês De Paraná;centro;71.0;2
20;1000;"Rua Doutor Celestino,
                122";centro;30.0;1
21;8000;Rua Almirante Teffe;centro;130.0;1
22;3700;Rua Visconde Do Uruguai;centro;160.0;1
23;500;Rua Coronel Gomes Machado;centro;32.0;1
24;1500;Rua Marquês De Paraná;centro;108.0;2
25;1100;"Rua Da Conceição,
                95";centro;32.0;1
26;2500;"Rua Da Conceição,
                143";centro;60.0;1
27;650;Avenida Ernani Do Amaral Peixoto;centro;35.0;1
28;690;Rua Visconde Do Uruguai;centro;45.0;1
29;1500;;centro;60.0;2
30;14000;Rua Doutor Celestino, 198;centro;180.0;1
31;1000;Rua Luiz Leopoldo Fernandes Pinheiro, 551;centro;54.0;1
32;600;Rua Da Conceição, 99;centro;20.0;1
33;990;Avenida Felíciano Sodré;centro;60.0;1
34;850;;centro;45.0;1
35;30000;;centro;700.0;1
36;30000;;centro;700.0;1
37;25000;;centro;405.0;1
38;2000;;centro;30.0;1
39;1200;Rua Da Conceição, 1881601;centro;45.0;1
40;2500;Rua Luiz Leopoldo Fernandes Pinheiro, 521;centro;120.0;1
41;15000;Rua Visconde De Sepetiba, 935;centro;382.0;1
42;1200;;centro;33.0;1
43;12000;;centro;550.0;1
44;1050;Rua Senador Nabuco;centro;60.0;1
45;1000;Rua Da Conceição, 99;centro;86.0;1
46;10000;Rua Quinze De Novembro, 94;centro;180.0;1
47;1000;Rua Jornalista Moacir Padilha, 70;centro;50.0;2
0;800;Rua Maestro Felício Toledo, 519;centro;38.0;1
1;1200;;centro;33.0;1
2;1400;Rua Visconde De Sepetiba, 50;centro;60.0;2
3;10000;Rua Doutor Celestino;centro;550.0;1
4;1150;;centro;28.0;1
5;6000;;centro;370.0;4
6;600;Rua Da Conceição;centro;25.0;1
7;10000;Rua Doutor Celestino, 198;centro;550.0;1
8;2100;Rua Da Conceição;centro;70.0;1
9;1200;;centro;33.0;1
10;900;;centro;24.0;1
11;1200;;centro;55.0;2
12;35000;;centro;500.0;1
13;1600;Rua Visconde De Itaboraí;centro;130.0;2
14;1380;Avenida Marquês Do Paraná;centro;68.0;3
15;1240;Rua Marechal Deodoro;centro;60.0;1
16;950;Rua Marechal Deodoro;centro;65.0;2
17;1100;Rua Da Conceição;centro;50.0;2
18;1200;Rua Marquês De Paraná;centro;88.0;1
19;1500;Rua Marquês De Paraná;centro;108.0;2
20;1390;Avenida Ernani Do Amaral Peixoto;centro;99.0;3
21;6000;;centro;210.0;1
22;1600;Avenida Ernani Do Amaral Peixoto, 96;centro;105.0;1
23;3500;Rua Marquês De Olinda;centro;225.0;4
24;1500;Rua Marquês De Paraná;centro;111.0;2
25;1500;Rua Marquês De Paraná;centro;108.0;2
26;1500;Rua Marquês De Paraná;centro;88.0;2
27;1500;;centro;20.0;1
28;1100;Rua Quinze De Novembro;centro;50.0;1
29;700;Rua Feliciano Sodré;centro;60.0;1
30;1200;Rua Marquês De Paraná;centro;91.0;1
31;1500;;centro;60.0;2
32;750;Avenida Ernani Do Amaral Peixoto, 436;centro;30.0;1
33;1290;Rua Maestro Felicio Toledo;centro;38.0;1
34;70000;;centro;3000.0;1
35;12000;;centro;550.0;1
36;1200;Rua Marquês De Paraná;centro;88.0;1
37;1200;Rua Marquês De Paraná;centro;88.0;1
38;750;Avenida Ernani Do Amaral Peixoto 370;centro;40.0;1
39;900;Avenida Visconde Do Rio Branco;centro;40.0;1
40;1000;Avenida Visconde Do Rio Branco;centro;50.0;1
41;1200;Rua Marquês De Paraná;centro;91.0;1
42;1100;Rua Quinze De Novembro, 90;centro;27.0;1
43;850;Rua Coronel Gomes Machado, 136;centro;35.0;1
44;500;Rua Da Conceição;centro;20.0;1
45;700;Avenida Felíciano Sodré;centro;60.0;1
46;640;Rua São João;centro;30.0;1
47;6000;;centro;150.0;1
0;1100;455 Loc;centro;50.0;1
1;3000;Rua Doutor Froes Da Cruz, 174;centro;200.0;4
2;2300;Travessa Cadete Xavier Leal, 23;centro;160.0;1
3;1500;Rua Maestro Felício Toledo, 551;centro;36.0;1
4;1500;Avenida Visconde Do Rio Branco;centro;54.0;2
5;1350;4 Torre Norte;centro;40.0;1
6;15000;Rua São Pedro;centro;588.0;1
7;1000;Rua José Clemente, 94;centro;40.0;1
8;600;;centro;40.0;1
9;1600;Avenida Ernani Do Amaral Peixoto, 96;centro;105.0;2
10;860;Rua Doutor Celestino;centro;50.0;1
11;1020;Rua São João, 217;centro;43.0;1
12;500;Avenida Ernani Do Amaral Peixoto;centro;32.0;1
13;800;;centro;24.0;1
14;650;Rua Maestro Felício Toledo, 495;centro;25.0;1
15;500;Rua Maestro Felício Toledo;centro;30.0;1
16;600;Rua Da Conceição;centro;40.0;1
17;1000;Rua Quinze De Novembro, 8;centro;30.0;1
18;500;Rua Da Conceição - Ed. Brasília;centro;23.0;1
19;950;;centro;30.0;1
20;500;Rua Coronel Gomes Machado, 174;centro;30.0;1
21;800;Rua Evaristo Da Veiga;centro;27.0;1
22;800;Avenida Ernani Do Amaral Peixoto;centro;30.0;1
23;500;Avenida Ernani Do Amaral Peixoto, 300;centro;29.0;1
24;20000;Rua Coronel Gomes Machado;centro;260.0;1
25;900;Rua São João;centro;26.0;1
26;600;Avenida Ernani Do Amaral Peixoto;centro;30.0;1
27;35000;Rua Quinze De Novembro, 4;centro;500.0;1
28;600;Avenida Ernani Do Amaral Peixoto, 36;centro;30.0;1
29;980;Avenida Ernani Do Amaral Peixoto;centro;42.0;1
30;640;Rua São João;centro;30.0;1
31;900;"Avenida Ernani Do Amaral Peixoto,
                96";centro;100.0;3
32;600;36 1003;centro;35.0;1
33;700;Rua Quinze De Novembro, 106;centro;30.0;1
34;1000;Rua Barão Do Amazonas, 2;centro;41.0;2
35;800;;centro;54.0;1
36;1400;Rua Doutor Borman, 13;centro;28.0;1
37;650;;centro;36.0;1
38;500;;centro;30.0;1
39;500;Rua Da Conceição;centro;20.0;1
40;650;Avenida Ernani Do Amaral Peixoto;centro;30.0;1
41;600;;centro;35.0;1
42;1000;;centro;36.0;1
43;730;Avenida Ernani Do Amaral Peixoto;centro;40.0;1
44;32000;;centro;570.0;1
45;500;"Avenida Ernani Do Amaral Peixoto,
                36";centro;33.0;1
46;600;"Avenida Visconde Do Rio Branco,
                633";centro;28.0;1
47;500;"Rua Coronel Gomes Machado,
                130";centro;30.0;1
0;1000;Rua Acadêmico Valter Gonçalves, 1;centro;43.0;1
1;1500;96 601;centro;110.0;3
2;950;Rua Doutor Borman, 43;centro;40.0;1
3;500;Rua Luiz Leopoldo Fernandes Pinheiro, 481;centro;28.0;1
4;1000;Rua Euzébio De Queirós, 15;centro;60.0;2
5;600;;centro;59.0;1
6;1090;;centro;29.0;1
7;1990;Rua Marechal Deodoro;centro;75.0;1
8;1200;Rua Quinze De Novembro, 4;centro;35.0;1
9;500;Avenida Ernani Do Amaral Peixoto, 300;centro;22.0;1
10;600;Rua Quinze De Novembro, 4;centro;29.0;1
11;1750;Rua Da Conceição, 95;centro;36.0;1
12;950;Rua Da Conceição;centro;35.0;1
13;1800;Rua Visconde De Sepetiba, 86;centro;70.0;2
14;600;Rua Quinze De Novembro, 94;centro;28.0;1
15;800;;centro;30.0;1
16;1500;;centro;90.0;2
17;950;Rua Visconde De Itaboraí;centro;67.0;2
18;980;;centro;75.0;2
19;500;Rua Da Conceição, 188;centro;39.0;1
20;450;Rua Doutor Borman, 13;centro;25.0;1
21;520;Avenida Ernani Do Amaral Peixoto, 300;centro;28.0;1
22;750;;centro;26.0;1
23;800;"Avenida Feliciano Sodré,
                95/904";centro;58.0;2
24;700;Rua Quinze De Novembro, 90;centro;29.0;1
25;640;Avenida Ernani Do Amaral Peixoto, 450;centro;35.0;1
26;1200;Rua Barão Do Amazonas, 2;centro;41.0;2
27;600;Avenida Felíciano Sodré;centro;45.0;1
28;600;Rua Doutor Borman, 13;centro;27.0;1
29;600;;centro;15.0;1
30;800;Rua Marechal Deodoro;centro;60.0;1
31;900;Rua  Dr  Borman, 10;centro;60.0;1
32;600;Rua Visconde De Rio Branco,;centro;20.0;1
33;600;;centro;30.0;1
34;1100;;centro;98.0;2
35;390;Rua Da Conceição, 137;centro;16.0;1
36;650;Rua Coronel Gomes Machado, 174;centro;35.0;1
37;350;;centro;56.0;1
38;500;;centro;22.0;1
39;600;;centro;26.0;1
40;500;Avenida Amaral Peixoto;centro;24.0;1
41;599;Rua Coronel Gomes Machado, 174;centro;30.0;1
42;550;Rua Da Conceição, 99;centro;25.0;1
43;600;Maestro Felicio Toledo 500;centro;40.0;1
44;100000;Rua Coronel Gomes Machado 173;centro;16.0;1
45;150;Amaral Peixoto 347;centro;2.0;1
46;400;Rua Da Conceição 101;centro;28.0;1
47;390;Av. Ernani Amaral Peixoto 460 405;centro;32.0;1
0;800;Rua Suiça  07;cubango;70.0;2
0;680;Estrada Francisco Da Cruz Nunes;cantagalo;60.0;2
0;2800;Avenida Prefeito Sylvio Picanço;charitas;113.0;3
1;3162;Rua São Caetano;charitas;170.0;4
2;1950;Rua Leonel Magalhães;charitas;80.0;2
3;1950;;charitas;35.0;2
4;2200;;charitas;38.0;2
5;2100;;charitas;88.0;2
6;1850;;charitas;26.0;2
7;1850;;charitas;26.0;2
8;2250;;charitas;35.0;2
9;2250;;charitas;38.0;2
10;2000;;charitas;80.0;2
11;1800;;charitas;36.0;2
12;1950;;charitas;80.0;2
13;2900;Rua Madre Maria Victoria;charitas;102.0;2
14;2500;;charitas;85.0;2
15;2500;;charitas;84.0;2
16;2150;Rua Madre Maria Victoria, 30;charitas;75.0;2
17;2700;Avenida Sílvio Picanço, 615;charitas;90.0;2
18;15000;;charitas;515.0;2
19;2500;Rua Juiz Alberto Nader, 77;charitas;85.0;2
20;2500;Rua Marechal Raul De Albuquerque, 2;charitas;24.0;2
21;1750;;charitas;26.0;2
22;4500;273 Bloco 1;charitas;110.0;3
23;2850;;charitas;118.0;3
24;2700;Rua Madre Maria Victoria, 1;charitas;102.0;2
25;2300;;charitas;100.0;2
26;1800;Rua Clotilde Maria Linhares Pinsky, 1;charitas;60.0;1
27;1150;"Rua Clotilde Maria Linhares Pinsky,
                1";charitas;45.0;1
28;4500;;charitas;450.0;4
29;45000;Rua Madre Maria Victória  90;charitas;70.0;2
0;1220;Rua Riodades;fonseca;80.0;2
1;1260;Avenida Professor João Brasil;fonseca;80.0;2
2;1920;Travessa Manoel Benício;fonseca;80.0;2
3;1050;Alameda São Boaventura;fonseca;120.0;3
4;2200;Travessa Victor Pestre;fonseca;171.0;4
5;1090;Rua Conrado Barbosa De Souza;fonseca;70.0;2
6;950;Rua Riodades;fonseca;60.0;2
7;1300;Travessa Silvestre Cabral;fonseca;90.0;2
8;1800;;fonseca;158.0;3
9;8000;;fonseca;500.0;2
10;900;Rua Professora Lilian Lemos Mercadette;fonseca;60.0;2
11;1000;Alameda São Boa Ventura, 369;fonseca;90.0;3
12;1400;Rua Coronel José Teixeira, 100;fonseca;74.0;2
13;900;Rua Doutor Carlos Imbassahy, 48;fonseca;55.0;2
14;680;"Rua Ilka Brasil Barbosa,
                120";fonseca;40.0;1
15;700;Rua São Geraldo;fonseca;55.0;2
16;1250;Alameda São Boaventura;fonseca;57.0;2
17;800;Avenida Professor João Brasil;fonseca;58.0;2
18;1100;Rua Sá Barreto;fonseca;70.0;2
19;1000;;fonseca;65.0;2
20;1400;;fonseca;94.0;3
21;900;;fonseca;42.0;2
22;60000;Alameda São Boa Ventura, 121;fonseca;750.0;2
23;990;;fonseca;55.0;2
24;1000;Alameda São Boa Ventura, 1096;fonseca;70.0;2
25;15000;;fonseca;273.0;2
26;8000;;fonseca;150.0;4
27;5000;Rua Professora Zuleica Brasil Silva, 7;fonseca;800.0;2
28;690;Alameda São Boaventura;fonseca;75.0;2
29;1500;;fonseca;50.0;2
30;900;Alameda São Boaventura;fonseca;85.0;2
31;800;Rua Riodades, 145;fonseca;51.0;2
32;1000;Alameda São Boaventura;fonseca;56.0;2
33;4080;Alameda Boaventura;fonseca;300.0;5
34;1150;;fonseca;70.0;2
35;8000;Alameda São Boaventura;fonseca;500.0;5
36;1200;Avenida Professor João Brasil, 366;fonseca;78.0;2
37;1160;Rua São José, 67;fonseca;75.0;2
38;3100;;fonseca;192.0;2
39;15000;;fonseca;1400.0;2
40;1000;Alameda São Boa Ventura, 210;fonseca;68.0;2
41;1000;;fonseca;60.0;2
42;600;;fonseca;40.0;1
43;19900;Rua Desembargador Lima Castro, 66;fonseca;1100.0;2
44;1000;;fonseca;60.0;2
45;1300;;fonseca;50.0;2
46;1500;802 Sobrado Casa 22;fonseca;100.0;3
47;1400;987 Bloco A;fonseca;55.0;2
0;3500;60 Casa;fonseca;145.0;4
1;4900;Alameda São Boa Ventura;fonseca;87.0;2
2;520;Rua Conrado Barbosa De Souza;fonseca;46.0;2
3;1300;Rua Desembargador Lima Castro;fonseca;110.0;4
4;3500;Avenida Vinte E Dois De Novembro, 0;fonseca;250.0;5
5;970;Alameda São Boaventura;fonseca;60.0;2
6;820;Rua Lopes Cunha;fonseca;50.0;2
7;2300;Avenida Vinte E Dois De Novembro;fonseca;100.0;2
8;1120;1029 Bloco 4;fonseca;82.0;2
9;600;Rua Sá Barreto, 98;fonseca;66.0;2
10;800;;fonseca;60.0;2
11;17000;;fonseca;400.0;2
12;3500;;fonseca;69.0;2
13;1200;Rua Desembargador Lima Castro;fonseca;85.0;2
14;900;;fonseca;50.0;2
15;850;Rua Desembargador Lima Castro, 102;fonseca;80.0;2
16;2800;;fonseca;54.0;2
17;700;Rua Lopes Da Cunha;fonseca;20.0;1
18;35000;Alameda São Boa Ventura, 665;fonseca;1100.0;2
19;4900;;fonseca;87.0;2
20;1500;Alameda São Boa Ventura, 802;fonseca;98.0;3
21;1200;802. Loc 22 Térrea;fonseca;100.0;2
22;1800;;fonseca;80.0;2
23;700;Alameda São Boa Ventura, 540;fonseca;23.0;2
24;800;Alameda São Boa Ventura, 690;fonseca;55.0;2
25;700;"Travessa Vítor Pestre,
                102";fonseca;45.0;2
26;620;Rua Riodades;fonseca;75.0;2
27;700;;fonseca;60.0;2
28;1000;"Rua Desembargador Lima Castro,
                113";fonseca;88.0;3
29;700;Rua Riodades, 145;fonseca;60.0;2
30;900;;fonseca;60.0;2
31;900;;fonseca;60.0;2
32;700;"Travessa Vítor Pestre,
                102";fonseca;55.0;2
33;900;200 308 Bloc 05;fonseca;48.0;2
34;800;Rua Zoraida Brasil Alcântara;fonseca;60.0;2
35;750;96 Bloco;fonseca;65.0;2
36;1490;Rua Maximiniano, 182;fonseca;280.0;3
37;730;Rua Doutor Carlos Imbassahy;fonseca;55.0;2
38;700;;fonseca;55.0;2
39;500;;fonseca;35.0;1
40;750;Alameda São Boa Ventura, 692;fonseca;46.0;2
41;800;"Rua Desembargador Lima Castro,
                282";fonseca;70.0;2
42;900;;fonseca;75.0;3
43;500;Rua São Geraldo, 135;fonseca;62.0;1
44;500;Rua Riodades;fonseca;60.0;2
45;600;135 Loc;fonseca;65.0;2
46;750;"Alameda São Boaventura,
                931";fonseca;30.0;1
47;500;"Travessa Vítor Pestre,
                102";fonseca;45.0;1
0;520;Rua Conrado Barbosa De Souza;fonseca;42.0;2
0;2440;Rua Arídio Martins;fatima;88.0;3
1;850;Rua Manoel Corrêa;fatima;15.0;1
2;680;Rua Manoel Corrêa;fatima;15.0;1
3;850;Rua Manoel Corrêa;fatima;15.0;1
4;680;Rua Manoel Corrêa;fatima;15.0;1
5;1000;"Rua Andrade Pinto,
                18";fatima;45.0;1
6;680;Rua Manoel Corrêa;fatima;15.0;1
7;950;Rua Monsenhor Macedo;fatima;61.0;3
8;890;Rua Saud Salomão Saud, 28;fatima;60.0;2
9;1200;;fatima;75.0;2
10;1850;;fatima;70.0;2
