zona,area_quartos,enderecos_lista,aluguel
norte,50 m² construídos1 quarto,"Rua Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",800
norte,92 m² construídos2 quartos,"Rua José De Sá Brito 26, Mandaqui, São Paulo Zona Norte, São Paulo",1.600
norte,56 m² construídos2 quartos,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",1.300
norte,50 m² construídos2 quartos,"Avenida Júlio Buono, Vila Guilherme, São Paulo Zona Norte, São Paulo",700
norte,70 m² construídos2 quartos,"Presidente Jânio Da Silva Quadros, Jardim Japão, São Paulo Zona Norte, São Paulo",1.200
norte,50 m² construídos2 quartos,"Dr. José Gustavo Nunes 8, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",920
norte,45 m² construídos2 quartos,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.000
norte,28 m² construídos,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",750
norte,35 m² construídos1 quarto,"Av. Nossa Senhora Do Loreto 237, Vila Medeiros, São Paulo Zona Norte, São Paulo",900
norte,10 m² construídos1 quarto,"Rua Carlos Escobar 282, Santana, São Paulo Zona Norte, São Paulo",800
norte,107 m² construídos4 quartos,"Rua Augusto Tolle,,
                408, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,65 m² construídos2 quartos,"Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.700
norte,47 m² construídos2 quartos,"Avenida Penha Brasil 2651, Vila Francos, São Paulo Zona Norte, São Paulo",1.000
norte,"7,800 m² construídos","Avenida Franz Liszt, Jardim Guança, São Paulo Zona Norte, São Paulo",115.000
norte,107 m² construídos3 quartos,"Rua Santo Egídio,,
                709, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.500
norte,132 m² construídos,"R Gaspar Soares, Jardim São Paulo, São Paulo Zona Norte, São Paulo",2.300
norte,65 m² construídos2 quartos,"General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.400
norte,45 m² construídos2 quartos,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.800
norte,47 m² construídos2 quartos,"Rua Aída Gomes Tolêdo, Imirim, São Paulo Zona Norte, São Paulo",1.000
norte,130 m² construídos,"Avenida Deputado Emílio Carlos,
                674b, Limão, São Paulo Zona Norte, São Paulo",2.500
norte,950 m² construídos,"Jardim Peri, São Paulo Zona Norte, São Paulo",21.000
norte,15 m² construídos1 quarto,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750
norte,67 m² construídos2 quartos,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.600
norte,55 m² construídos2 quartos,"Rua João De Souto Maior, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.450
norte,62 m² construídos3 quartos,"Rua Emílio Goeldi, Jardim Peri, São Paulo Zona Norte, São Paulo",2.200
norte,160 m² construídos4 quartos,"Jardim França, São Paulo Zona Norte, São Paulo",5.400
norte,70 m² construídos2 quartos,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.800
norte,50 m² construídos2 quartos,"Jose Pedro D´oro 451, Vila Francos, São Paulo Zona Norte, São Paulo",1.400
norte,48 m² construídos2 quartos,"Rua Artur, Imirim, São Paulo Zona Norte, São Paulo",1.200
norte,46 m² construídos2 quartos,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.400
norte,30 m² construídos,"R Doutor Artur Guimarães, Santana, São Paulo Zona Norte, São Paulo",2.000
norte,35 m² construídos1 quarto,"Rua José De Almeida, Vila Medeiros, São Paulo Zona Norte, São Paulo",900
norte,120 m² construídos2 quartos,"Rua Santo Adolfo, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.200
norte,110 m² construídos2 quartos,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",2.200
norte,58 m² construídos2 quartos,"Rua Paulo Vidigal Vicente De Azevedo, Jardim Peri, São Paulo Zona Norte, São Paulo",1.550
norte,60 m² construídos2 quartos,"Rua Antônio Dias Da Silva, Vila Amália, São Paulo Zona Norte, São Paulo",1.120
norte,80 m² construídos3 quartos,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",1.910
norte,80 m² construídos3 quartos,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.300
norte,62 m² construídos2 quartos,"Rua Henrique Felipe Da Costa, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.600
norte,45 m² construídos2 quartos,"Rua Nicolau Tolentino De Almeida 61, Vila Dionisia, São Paulo Zona Norte, São Paulo",1.000
norte,30 m² construídos1 quarto,"Rua Buracica, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.150
norte,90 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.560
norte,60 m² construídos1 quarto,"Rua Ismael Neri, Água Fria, São Paulo Zona Norte, São Paulo",1.400
norte,90 m² construídos,"Paulo De Avelar, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",2.500
norte,100 m² construídos3 quartos,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",2.150
norte,321 m² construídos3 quartos,"Rua Padre Azevedo, Jardim São Paulo, São Paulo Zona Norte, São Paulo",7.800
norte,130 m² construídos3 quartos,"Rua Francisca Júlia, Santana, São Paulo Zona Norte, São Paulo",4.750
norte,450 m² construídos2 quartos,"Rua Galiléia, Casa Verde, São Paulo Zona Norte, São Paulo",8.000
norte,65 m² construídos2 quartos,"Rua Jaboatão, Casa Verde, São Paulo Zona Norte, São Paulo",1.470
norte,64 m² construídos3 quartos,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.600
